hash,author_name,change_type_ck,makefile_tags,has_new_template,TAGS
9eec928982690d8824942806f0714426cc93619e,Gabriel Schulhof,add;change,ifneq;targets,,#REF!
9dd1fd5a27a82b28775690c09e498d1cbd1ddc5d,guchaojie,add,mappingA,,#REF!
c2053e4f5653702de79d298999e00cbcd5d7bea8,Bruno Dilly,add,vars,,#REF!
1f8fd66c2a34a1c7da6ccad27caa6823748a3609,IvĂ¡n Briano,add,mappingR,,#REF!
31ee45d1cf57998ddad93eea88a1f60e5f644519,Gustavo Sverzut Barbieri,change,vars,,#REF!
ebf405b1a2bf97c45ea6b14af43fb157eb5f92e4,Gabriel Schulhof,change,targets,,#REF!
a2985770cead37431f8ae76f94f0654f81fee008,Guilherme Iscaro de Godoy,add,mappingR,,#REF!
cd7b25926e23b7da648abbe89f55295348e798dc,Guilherme Iscaro de Godoy,add,mappingR,,#REF!
a95c763fb1aea55226fe8df56e16f21d48277b21,IvĂ¡n Briano,change,vars,,#REF!
e2d2e2150cabcbe1c6b5ceba2a1872ed0d0524c1,Otavio Pontes,add,mappingR,,#REF!
43024e26d501668fb18fb12574ba2b118f1e791a,Gabriel Schulhof,change,vars;targets,,#REF!
3c50ba10a987afc1e693b2970c31d4eed69dbb7c,Srinivasa Ragavan,add,targets,,#REF!
80e812b4f2ea31897aed50cc0ceee5502efa1d84,Gustavo Sverzut Barbieri,add,ifeq;rules,,#REF!
0c700dd862fdcfbaa4d8ecf83dfb046f1f633617,Srinivasa Ragavan,add,mappingA;targets,,#REF!
69881989e9a5f881395a7b165d45e89ee83e5138,Sudarsana Nagineni,add,mappingA;targets,,#REF!
0e51ce55e37f2b8ca8d215e1891435c64fdfce10,Sudarsana Nagineni,add,mappingA;targets,,#REF!
80b9ff758726770c41421e80f0c80cd07f1e7482,Guilherme Iscaro de Godoy,add,mappingA;targets;vars,,#REF!
e7d2b46f40292511211fccd5971aea02615fbeea,Sudarsana Nagineni,add,mappingA,,#REF!
b85d1dbbb001ab7d37869c258463c8f2fb8a7371,Flavio Ceolin,add,mappingA,,#REF!
a259e48e8845a75cc8fb9723c3e3254828ac107f,Gabriel Schulhof,add;change,mappingA;vars;targets,,#REF!
9e99abd9685f67150d489014e8de3a62174f5343,Sudarsana Nagineni,add,mappingA;targets,,#REF!
